DateHour,Hour,Date,Month,2011_UV,2012_UV,2013_UV,2014_UV,2015_UV,2016_UV,2017_UV,2018_UV,2019_UV,2020_UV
05-01 09,09,01,05,0.8093333333333332,0.9436666666666668,0.4565,1.3299999999999996,1.2373333333333332,0.9614999999999999,0.5308333333333332,1.025,0.7791666666666669,0.25066666666666665
05-01 10,10,01,05,1.8908333333333331,1.6536666666666662,0.7448333333333335,2.4523333333333337,2.323166666666667,1.9475000000000002,1.4926666666666664,1.7890000000000004,0.8029999999999998,0.4788333333333337
05-01 11,11,01,05,2.2999999999999994,2.3980000000000006,0.7313333333333334,3.071833333333333,3.162333333333334,1.1610000000000003,3.6191666666666666,2.6726666666666663,1.0959999999999999,0.894833333333333
05-01 12,12,01,05,2.164333333333334,2.4626666666666663,1.8755,3.234333333333333,3.442333333333332,1.8203333333333336,3.448166666666667,2.8976666666666664,1.7613333333333332,1.0339999999999998
05-01 13,13,01,05,1.4865000000000002,2.355000000000001,2.1199999999999997,1.9003333333333337,2.9535,1.6731666666666667,2.9473333333333347,2.5688333333333344,2.3093333333333335,0.9588333333333334
05-01 14,14,01,05,0.8351666666666666,1.8200000000000003,0.7971666666666671,1.178666666666667,1.9158333333333337,1.2678333333333334,1.9775000000000005,1.7128333333333334,1.5756666666666663,1.3461666666666667
05-01 15,15,01,05,0.30866666666666664,0.7860000000000001,0.6933333333333335,0.39816666666666684,0.8116666666666664,0.5701666666666668,0.8890000000000003,0.8733333333333334,0.8838333333333332,0.5985
05-01 16,16,01,05,0.047999999999999966,0.22766666666666663,0.17833333333333334,0.1478333333333334,0.20450000000000002,0.21116666666666672,0.11816666666666667,0.26066666666666666,0.2521666666666667,0.21850000000000006
05-01 17,17,01,05,0.0,0.035666666666666694,0.044166666666666694,0.026666666666666682,0.030333333333333354,0.02100000000000001,0.005833333333333335,0.028833333333333353,0.031000000000000014,0.022000000000000013
05-01 18,18,01,05,0.0,0.02000000000000001,0.04000000000000002,0.02000000000000001,0.012000000000000007,0.010000000000000005,0.0,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-01 19,19,01,05,0.0,0.02000000000000001,0.04000000000000002,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.001833333333333333,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-01 20,20,01,05,0.0,0.02000000000000001,0.04000000000000002,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-01 21,21,01,05,0.0,0.02000000000000001,0.04000000000000002,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-01 22,22,01,05,0.0,0.02000000000000001,0.04000000000000002,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-01 23,23,01,05,0.0,0.020000000000000007,0.040000000000000015,0.020000000000000007,0.020000000000000007,0.010000000000000004,0.010000000000000004,0.009800000000000005,0.010000000000000004,0.010000000000000004
05-02 00,00,02,05,0.0,0.02000000000000001,0.04000000000000002,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-02 01,01,02,05,0.0,0.02000000000000001,0.04000000000000002,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-02 02,02,02,05,0.0,0.02000000000000001,0.04000000000000002,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-02 03,03,02,05,0.0,0.025000000000000015,0.04000000000000002,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-02 04,04,02,05,0.0,0.030000000000000023,0.04000000000000002,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.009661016949152548,0.010000000000000005,0.010000000000000005
05-02 05,05,02,05,0.0,0.030000000000000023,0.04000000000000002,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.008000000000000004,0.010000000000000005,0.010000000000000005
05-02 06,06,02,05,0.0,0.030000000000000023,0.04050000000000001,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-02 07,07,02,05,0.008833333333333335,0.038833333333333366,0.09783333333333337,0.0666666666666667,0.03950000000000001,0.06633333333333336,0.06866666666666668,0.057000000000000016,0.043166666666666687,0.05450000000000003
05-02 08,08,02,05,0.15316666666666662,0.12966666666666665,0.4245,0.27366666666666656,0.15750000000000006,0.3818333333333334,0.43,0.3055000000000001,0.21766666666666667,0.31100000000000005
05-02 09,09,02,05,0.3565,0.5996666666666666,1.1441666666666666,0.5785000000000001,0.5958333333333332,1.0635000000000001,1.2545,0.8759999999999999,0.6985,0.7315
05-02 10,10,02,05,0.6336666666666667,1.008,2.1583333333333337,0.9825000000000004,0.9108333333333333,1.591,1.9235000000000004,1.2241666666666666,1.4521666666666668,1.103
05-02 11,11,02,05,2.5793333333333335,1.1435,2.9718333333333318,1.314,1.428166666666666,2.609,2.3091666666666657,2.018666666666667,2.3465,1.7805000000000002
05-02 12,12,02,05,2.5361666666666673,1.7438333333333338,3.126166666666667,1.269166666666667,2.2151666666666663,3.318500000000001,2.2776666666666667,1.9459999999999995,1.560833333333334,2.330999999999999
05-02 13,13,02,05,1.6413333333333329,1.2391666666666667,2.6296666666666666,0.9383333333333334,3.015333333333333,2.8838333333333335,1.3995000000000002,1.6721666666666661,0.6278333333333332,1.8336666666666663
05-02 14,14,02,05,1.352,0.8535,1.710833333333333,0.7949999999999998,1.9106666666666674,1.8658333333333326,1.1296666666666664,1.2474999999999998,0.7408333333333332,1.0658333333333334
05-02 15,15,02,05,0.7746666666666667,0.5148333333333333,0.8030000000000002,0.5866666666666671,0.8906666666666666,0.8583333333333331,0.5794999999999999,0.5823333333333334,0.20733333333333331,0.4463333333333333
05-02 16,16,02,05,0.2068333333333334,0.17383333333333345,0.234,0.13566666666666666,0.23349999999999999,0.21966666666666665,0.19633333333333333,0.20150000000000007,0.06499999999999997,0.11566666666666664
05-02 17,17,02,05,0.0045000000000000005,0.04249999999999996,0.05250000000000003,0.029333333333333347,0.02850000000000002,0.02416666666666668,0.016333333333333346,0.016333333333333346,0.012166666666666675,0.025166666666666677
